Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2
1349970,19.6172542572,107474970,40.3558349609,217049970,693.5712280273
1379970,29.8773860931,107489970,263.4521789551,217064970,389.8129272461
1409970,23.2069816589,107519970,423.4266967773,217079970,670.4048461914
1439970,25.5047969818,107549970,291.4906005859,217094970,25.7772827148
1469970,34.2171859741,107579970,442.8258972168,217109970,468.4049682617
1499970,27.553768158,107609970,412.0615844727,217139970,829.6082763672
1529970,30.3219661713,107639970,432.2836303711,217154970,36.2521133423
1559970,40.7603759766,107669970,209.4268035889,217169970,567.2391357422
1589970,36.7722549438,107684970,65.1745834351,217199970,642.8455810547
1619970,35.58070755,107699970,322.2581481934,217229970,494.8558044434
1649970,14.4175577164,107729970,380.4365844727,217259970,558.614440918
1679970,25.2969417572,107744970,20.5394992828,217289970,839.2991333008
1709970,28.3120098114,107759970,253.4541931152,217319970,767.1135253906
1739970,22.4270801544,107774970,450.2271118164,217349970,577.3017578125
1769970,39.2865409851,107789970,295.8037109375,217364970,171.545135498
1799970,25.3555965424,107804970,82.1811828613,217379970,331.8005981445
1829970,37.1305923462,107819970,418.4528198242,217409970,705.8920288086
1859970,49.3785667419,107849970,293.7518310547,217424970,15.5411090851
1889970,38.7428131104,107879970,339.4342346191,217439970,664.7596435547
1919970,48.9019546509,107909970,324.9420776367,217469970,738.7349243164
1949970,51.2308578491,107924970,486.8322143555,217499970,486.7073364258
1979970,46.3103141785,107939970,288.6930847168,217529970,460.6827392578
2009970,47.9300727844,107954970,93.689239502,217559970,575.1138916016
2039970,35.3032035828,107969970,508.342376709,217589970,394.7397155762
2069970,37.1712646484,107999970,431.1654968262,217619970,534.2022094727
2099970,63.5542640686,108014970,626.8353881836,217649970,752.3656005859
2129970,49.4935417175,108029970,279.1835327148,217664970,132.986907959
2159970,30.1351680756,108044970,212.319519043,217679970,456.3974609375
2189970,46.3102836609,108059970,289.4300231934,217709970,608.0470581055
2219970,57.0552558899,108089970,433.9257202148,217724970,124.772102356
2249970,39.0991210938,108119970,357.6724243164,217739970,567.0261230469
2279970,40.3667945862,108149970,359.8957824707,217769970,705.046081543
2309970,24.5101833344,108164970,246.4198303223,217799970,727.9227905273
2339970,50.8533973694,108179970,279.5961914063,217814970,186.2472686768
2369970,55.3957366943,108194970,9.7948560715,217829970,739.9361572266
2384970,25.5494194031,108209970,313.4765930176,217859970,518.5189819336
2399970,58.9124679565,108224970,347.2307739258,217889970,663.6179199219
2414970,29.1940841675,108239970,408.2406921387,217904970,46.6158828735
2429970,61.161895752,108254970,182.063583374,217919970,549.3828735352
2444970,18.1107749939,108269970,273.7040100098,217934970,606.0739746094
2459970,58.3364105225,108284970,62.1341438293,217949970,689.3358154297
2489970,38.4069137573,108299970,480.6015930176,217964970,197.7890319824
2519970,47.9418334961,108329970,354.7167663574,217979970,651.8463745117
2549970,43.2498893738,108344970,72.5550537109,218009970,479.5289611816
2579970,62.5376014709,108359970,411.3265686035,218024970,1.4721735716
2609970,58.2166137695,108389970,280.3897705078,218039970,718.8753662109
2639970,41.6939544678,108404970,181.5811920166,218054970,236.3519744873
2669970,49.1207122803,108419970,349.0479736328,218069970,487.6977539063
2699970,41.3561897278,108434970,246.0874176025,218099970,567.1260986328
2714970,0.8644494414,108449970,281.8964233398,218114970,136.926361084
2729970,36.6463088989,108479970,289.5986633301,218129970,645.741394043
2759970,52.3186607361,108494970,321.3572998047,218159970,593.6910400391
2789970,56.3286247253,108509970,412.9356994629,218189970,460.4041137695
2819970,42.6163330078,108539970,408.6167907715,218219970,643.7862548828
2834970,39.4403839111,108554970,224.8879852295,218249970,549.0537109375
2849970,49.465587616,108569970,546.9808959961,218279970,668.223815918
2879970,40.2323417664,108584970,239.4003295898,218309970,513.9019165039
2909970,57.1765632629,108599970,444.8649291992,218339970,525.6452636719
2939970,30.2383975983,108614970,160.503692627,218369970,534.1408691406
2969970,39.4309768677,108629970,358.6394348145,218399970,575.336730957
2999970,19.2198486328,108659970,556.1965942383,218414970,188.1614074707
3029970,40.0767974854,108674970,95.8305358887,218429970,548.6770019531
3059970,54.9948959351,108689970,401.4799194336,218459970,489.2896118164
3089970,37.3971099854,108704970,356.7701416016,218474970,320.367401123
3119970,47.2345466614,108719970,466.6826171875,218489970,535.4730224609
3149970,49.9283294678,108749970,481.2806396484,218504970,33.1226539612
3179970,48.9488525391,108779970,538.6923828125,218519970,323.6293640137
3209970,55.6355171204,108794970,380.7314758301,218549970,644.9385375977
3239970,47.6353416443,108809970,540.2091064453,218564970,148.2224884033
3269970,47.3828811646,108824970,146.9506378174,218579970,458.1049194336
3299970,37.55909729,108839970,302.3536071777,218594970,176.600112915
3329970,57.4333343506,108854970,102.5153961182,218609970,572.2539672852
3359970,47.2082519531,108869970,441.1734313965,218639970,701.9151611328
3389970,45.620677948,108899970,352.7786560059,218669970,681.8158569336
3419970,53.7495002747,108929970,368.573059082,218684970,257.035369873
3449970,35.2415122986,108959970,413.4051513672,218699970,380.0161743164
3479970,33.2001457214,108974970,71.9558258057,218729970,539.4852294922
3509970,45.9729690552,108989970,467.722442627,218759970,676.0731811523
