Step-eval,Value-eval
4349970,82.1645126343
4379970,74.3002853394
4394970,1.4677442312
4409970,74.5357971191
4439970,80.1893157959
4469970,82.284072876
4499970,85.0594482422
4529970,67.5062103271
4544970,-11.3014373779
4559970,69.3150787354
4589970,81.0733108521
4619970,34.2107086182
4649970,72.2512207031
4679970,50.4755249023
4694970,2.2820661068
4709970,88.7473220825
4739970,75.1297302246
4769970,50.6636581421
4799970,79.819480896
4829970,36.0077133179
4844970,-3.2674772739
4859970,43.235206604
4889970,42.9620475769
4919970,50.7033195496
4934970,25.3593902588
4949970,100.6270141602
4979970,66.1468811035
4994970,45.9184761047
5009970,86.6384048462
5039970,54.6727828979
5069970,63.7415428162
5084970,12.3261127472
5099970,73.8395309448
5129970,64.1098556519
5159970,85.6450042725
5174970,40.326499939
5189970,62.0533180237
5219970,80.7665863037
5249970,62.7266273499
5279970,26.50258255
5294970,72.273147583
5309970,53.9614295959
5324970,43.7267799377
5339970,83.1934967041
5369970,67.3312072754
5399970,77.0207443237
5429970,44.9846839905
5459970,37.077835083
5489970,55.7220878601
5504970,-4.1969079971
5519970,66.4868850708
5549970,50.0562896729
5579970,58.9778785706
5594970,-36.4542884827
5609970,74.9697723389
5624970,35.8631820679
5639970,65.4653549194
5669970,89.5149917603
5684970,57.7809333801
5699970,67.9839782715
5729970,68.3596954346
5759970,47.3121795654
5789970,37.6043548584
5804970,2.1126582623
5819970,54.4082870483
5849970,54.3143386841
5864970,38.146446228
5879970,65.2382659912
5909970,82.2531661987
5939970,37.6418190002
5954970,0.2031203806
5969970,56.4283180237
5984970,10.5184183121
5999970,72.849861145
6029970,29.5276699066
6059970,83.8507232666
6089970,61.742893219
6119970,61.2657661438
6149970,61.6826248169
6179970,63.304271698
6209970,56.7906951904
6224970,-10.485994339
6239970,63.8813171387
6269970,68.3962173462
6299970,69.690826416
6329970,65.4717941284
6359970,40.060005188
6374970,-10.8391990662
6389970,44.5107116699
6419970,45.8084220886
6449970,75.6123046875
6479970,82.7307128906
6494970,48.7236251831
6509970,86.5476074219
6539970,95.1519317627
6569970,69.4167175293
6584970,11.7595119476
6599970,75.3177032471
6614970,-19.3712539673
6629970,120.3333892822
6644970,10.1706676483
6659970,89.9636535645
6689970,88.363243103
6704970,0.5024379492
6719970,94.4797439575
6734970,5.5190315247
6749970,77.9476470947
6779970,64.8362731934
6794970,73.9082107544
6809970,79.5777206421
6839970,112.6593551636
6869970,95.0170059204
6899970,90.7985916138
6929970,118.2942199707
6959970,123.1065597534
6974970,50.8478355408
6989970,87.7261352539
7019970,70.7742614746
7049970,100.4465179443
7079970,113.1160125732
7094970,-98.8348083496
7109970,76.092376709
7124970,67.8276367188
7139970,67.8757171631
7154970,3.8055057526
7169970,76.8153762817
7184970,13.8377981186
7199970,99.0869979858
7229970,92.8914031982
7259970,91.6653366089
7274970,39.5645027161
7289970,71.8152542114
7319970,67.8429260254
7334970,15.9782848358
7349970,80.9345779419
7379970,63.8465156555
7394970,1.8583357334
7409970,106.1049728394
7424970,-9.4480686188
7439970,87.2023239136
7454970,-41.4255027771
7469970,80.359336853
7484970,26.1186313629
7499970,78.2941589355
7514970,0.5032097101
7529970,85.9563674927
7544970,9.4886960983
7559970,94.5390853882
7589970,115.4428405762
7619970,61.4899711609
7649970,78.4748153687
7679970,73.4474563599
7709970,85.5175857544
7739970,82.7264175415
7769970,87.6788864136
7799970,79.5432128906
7829970,93.0159072876
7859970,94.2935028076
7874970,-17.6244220734
7889970,92.2545318604
7904970,12.2979354858
7919970,101.0762023926
7934970,43.3143959045
7949970,101.334854126
7964970,-34.060295105
7979970,91.127281189
8009970,79.4016113281
8024970,26.8549785614
8039970,95.8424377441
8069970,103.0374450684
8099970,111.6612930298
8129970,86.068069458
8159970,108.0180358887
8174970,12.9646158218
8189970,59.8201789856
8204970,4.27617836
8219970,74.696395874
8234970,7.5532112122
8249970,77.4901351929
8264970,25.0795536041
8279970,65.0783081055
8309970,74.2525558472
8339970,117.7142028809
8369970,71.0775909424
8399970,111.2159347534
8429970,114.5029754639
8444970,33.6505813599
8459970,81.1262817383
8474970,7.7843546867
8489970,87.9502105713
8504970,-16.026512146
8519970,81.3929595947
8534970,1.7442748547
8549970,93.0812683105
8579970,66.3573074341
8594970,8.6549139023
8609970,92.1147003174
8639970,108.5404129028
8669970,80.3274993896
8699970,108.9982910156
8729970,67.4712524414
8744970,47.7436981201
8759970,83.5583114624
8789970,111.159111023
8804970,68.7969894409
8819970,90.1036911011
8834970,-31.7969284058
8849970,112.2662963867
8879970,69.7668380737
8894970,41.3130264282
8909970,78.1332473755
8924970,101.3644561768
8939970,81.9617385864
8969970,101.5886230469
8984970,61.0134429932
8999970,94.7976531982
9014970,41.4017181396
9029970,74.1381835938
9044970,43.8888969421
9059970,80.7542190552
