Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
704970,13.9354190826,46199970,1246.7113037109,68369970,858.1680297852,135869970,1048.0778808594
719970,35.4369316101,46214970,179.8507843018,68384970,195.6913909912,135884970,89.7402572632
749970,35.8294525146,46229970,1200.7751464844,68399970,930.7665405273,135899970,922.1166381836
779970,52.3365631104,46244970,258.0598144531,68414970,204.3126220703,135914970,183.8137817383
809970,53.2176780701,46259970,1522.3458251953,68429970,765.9705810547,135929970,968.5885009766
824970,18.0587520599,46274970,252.9572296143,68444970,115.6019287109,135944970,405.8012695313
839970,53.2505760193,46289970,1125.8934326172,68459970,906.1404418945,135959970,1051.4592285156
869970,81.3003387451,46304970,163.0222320557,68474970,357.7411193848,135974970,241.4205627441
884970,41.9133682251,46319970,1234.3582763672,68489970,1068.1959228516,135989970,1100.1082763672
899970,78.9927749634,46334970,210.166015625,68504970,159.8820648193,136004970,214.6960906982
914970,31.6596775055,46349970,1355.3062744141,68519970,767.7669067383,136019970,886.6581420898
929970,77.2044906616,46364970,183.9908294678,68534970,193.5170898438,136034970,164.3123931885
944970,52.6495361328,46379970,1377.1137695313,68549970,698.2758178711,136049970,749.5322265625
959970,89.1362075806,46394970,198.2117156982,68564970,192.4058532715,136064970,518.1597900391
974970,121.5989074707,46409970,1287.7283935547,68579970,843.5584716797,136079970,853.8711547852
989970,93.1266555786,46424970,196.691986084,68594970,261.0766906738,136094970,237.393951416
1004970,87.1184463501,46439970,1315.5405273438,68609970,936.8336791992,136109970,970.542175293
1019970,83.9288101196,46454970,86.772644043,68624970,122.431388855,136124970,334.5141296387
1034970,28.043088913,46469970,1084.546875,68639970,863.9379272461,136139970,901.6448364258
1049970,92.7495651245,46484970,101.862197876,68654970,107.7468032837,136154970,190.1346282959
1064970,73.7755737305,46499970,1449.8330078125,68669970,905.3673095703,136169970,916.0886230469
1079970,92.9630661011,46514970,19.5011005402,68684970,173.2616271973,136184970,243.4528198242
1094970,46.6371574402,46529970,1223.7407226563,68699970,827.8181152344,136199970,921.1192016602
1109970,93.5890197754,46544970,176.1172943115,68714970,214.3500213623,136214970,94.8692703247
1124970,54.0652770996,46559970,1351.2789306641,68729970,885.3510742188,136229970,1115.3579101563
