Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
779970,15.5820636749,42209970,1421.0205078125,67874970,143.1602630615,163319970,733.1239013672
809970,16.1435031891,42224970,589.2079467773,67889970,716.234375,163334970,276.0726928711
839970,22.4615898132,42239970,1521.5726318359,67904970,301.9740600586,163349970,858.9317016602
869970,17.4285316467,42254970,127.1113357544,67919970,1017.7830200195,163364970,293.9559326172
899970,19.2173423767,42269970,1462.9317626953,67934970,239.4772033691,163379970,833.4772949219
929970,19.9653377533,42299970,1394.0307617188,67949970,837.171875,163394970,212.2976837158
959970,17.9701519012,42314970,198.4206085205,67964970,238.875,163409970,960.0401611328
989970,26.6365318298,42329970,1406.7368164063,67979970,947.7011108398,163424970,228.9084625244
1019970,34.589099884,42359970,1388.4300537109,67994970,203.6736602783,163439970,797.7745361328
1049970,41.8764877319,42374970,120.8349304199,68009970,931.1998901367,163454970,190.9088745117
1079970,34.3532943726,42389970,1555.9858398438,68024970,233.735244751,163469970,840.1303710938
1109970,33.6105766296,42404970,247.3718109131,68039970,1052.4483642578,163484970,154.6759796143
1139970,34.0852394104,42419970,1419.2165527344,68054970,162.4338684082,163499970,820.9479980469
1169970,53.9157714844,42449970,1634.6635742188,68069970,951.6754760742,163529970,929.4561157227
1199970,60.6720466614,42479970,1667.0775146484,68084970,173.9329833984,163544970,309.7901306152
1229970,57.2797622681,42494970,84.8043365479,68099970,983.0119018555,163559970,772.6204223633
1244970,-16.5219993591,42509970,1480.2072753906,68114970,157.6675109863,163574970,424.3265380859
1259970,53.7740592957,42524970,90.2641372681,68129970,897.9370117188,163589970,666.2843017578
1274970,61.816028595,42539970,1520.4481201172,68144970,113.9305725098,163604970,235.1903991699
1289970,51.362827301,42554970,138.3310241699,68159970,860.4857177734,163619970,927.1986694336
1304970,27.1077461243,42569970,1464.3243408203,68174970,195.5347290039,163634970,261.9649658203
1319970,47.9460792542,42584970,78.1608581543,68189970,998.0443725586,163649970,859.2990112305
1349970,39.2178955078,42599970,1531.8422851563,68204970,292.413269043,163664970,285.7464294434
1364970,7.0220918655,42614970,252.4228210449,68219970,868.9104003906,163679970,952.5687255859
1379970,37.5407295227,42629970,1598.5306396484,68234970,201.8684082031,163694970,130.72215271
1409970,59.4458885193,42644970,260.5111083984,68249970,912.3432617188,163709970,776.4058837891
1424970,31.6477832794,42659970,1399.9595947266,68264970,125.4653091431,163724970,312.2140197754
